split	gene_id	rvalue	method
1	ENSG00000229450.2	0.5691383321907508	SNP
1	ENSG00000196126.6	-0.02789436307229118	SNP
1	ENSG00000198502.5	0.10346998219171959	SNP
1	ENSG00000179344.11	0.3774354601098354	SNP
1	ENSG00000232629.4	0.6024817743199247	SNP
1	ENSG00000237541.3	0.6993392823070513	SNP
1	ENSG00000196735.6	0.30115666323997353	SNP
1	ENSG00000214425.1	0.3898016090731431	SNP
1	ENSG00000176681.9	0.27322555328390136	SNP
1	ENSG00000238083.3	0.15014111685892692	SNP
2	ENSG00000229450.2	0.5402459673568406	SNP
2	ENSG00000196126.6	0.30673582140076827	SNP
2	ENSG00000198502.5	0.04440048701374487	SNP
2	ENSG00000179344.11	0.6442049676556447	SNP
2	ENSG00000232629.4	0.4333942236881876	SNP
2	ENSG00000237541.3	0.4400574909469464	SNP
2	ENSG00000196735.6	0.6272360397558987	SNP
2	ENSG00000214425.1	0.3829216808558469	SNP
2	ENSG00000176681.9	0.12330646879158018	SNP
2	ENSG00000238083.3	0.10738623024849316	SNP
3	ENSG00000229450.2	0.44627147298974346	SNP
3	ENSG00000196126.6	0.38844197088609234	SNP
3	ENSG00000198502.5	-0.13171530283654684	SNP
3	ENSG00000179344.11	0.3757077678724436	SNP
3	ENSG00000232629.4	0.35928679964234456	SNP
3	ENSG00000237541.3	0.5126820108640534	SNP
3	ENSG00000196735.6	0.24136921255593521	SNP
3	ENSG00000214425.1	0.5870501086295491	SNP
3	ENSG00000176681.9	0.2363319224252683	SNP
3	ENSG00000238083.3	0.14579604811976685	SNP
4	ENSG00000229450.2	0.41141419039748317	SNP
4	ENSG00000196126.6	-0.03174576957172187	SNP
4	ENSG00000198502.5	0.11598084764945428	SNP
4	ENSG00000179344.11	0.5911321579716045	SNP
4	ENSG00000232629.4	0.653060288806725	SNP
4	ENSG00000237541.3	0.5540141058848488	SNP
4	ENSG00000196735.6	0.5880648712405859	SNP
4	ENSG00000214425.1	0.2351427084248483	SNP
4	ENSG00000176681.9	0.49004219411054956	SNP
4	ENSG00000238083.3	0.4650290578297776	SNP
5	ENSG00000229450.2	0.5344673926241061	SNP
5	ENSG00000196126.6	0.3403741466041785	SNP
5	ENSG00000198502.5	0.25120026523046746	SNP
5	ENSG00000179344.11	0.563802969958521	SNP
5	ENSG00000232629.4	0.22894151911231522	SNP
5	ENSG00000237541.3	0.5610446384029508	SNP
5	ENSG00000196735.6	0.5560796416029248	SNP
5	ENSG00000214425.1	0.22419147142517956	SNP
5	ENSG00000176681.9	0.3332380466408601	SNP
5	ENSG00000238083.3	0.2899902522539627	SNP
1	ENSG00000198502.5	0.4270821965693659	Ridge
1	ENSG00000214425.1	0.3049962521509367	Ridge
1	ENSG00000238083.3	0.43448466593369045	Ridge
1	ENSG00000229450.2	0.5972265041417593	Ridge
1	ENSG00000179344.11	0.5764168057869933	Ridge
1	ENSG00000237541.3	0.6942770442564644	Ridge
1	ENSG00000196126.6	0.28575376839647654	Ridge
1	ENSG00000196735.6	0.5143874085072201	Ridge
1	ENSG00000176681.9	0.49976818864842093	Ridge
1	ENSG00000232629.4	0.5186771275769773	Ridge
2	ENSG00000198502.5	0.2796211805170097	Ridge
2	ENSG00000214425.1	0.35246262162829	Ridge
2	ENSG00000238083.3	0.37352224682802476	Ridge
2	ENSG00000229450.2	0.5138611480576887	Ridge
2	ENSG00000179344.11	0.7762333183395046	Ridge
2	ENSG00000237541.3	0.39828473554663857	Ridge
2	ENSG00000196126.6	0.44331760679666476	Ridge
2	ENSG00000196735.6	0.6871935913082713	Ridge
2	ENSG00000176681.9	0.48802820395712593	Ridge
2	ENSG00000232629.4	0.5760484925417761	Ridge
3	ENSG00000198502.5	0.25838489556426575	Ridge
3	ENSG00000214425.1	0.4276577168527021	Ridge
3	ENSG00000238083.3	0.32205047080893545	Ridge
3	ENSG00000229450.2	0.3852612544003092	Ridge
3	ENSG00000179344.11	0.6332488549284386	Ridge
3	ENSG00000237541.3	0.2812532018789059	Ridge
3	ENSG00000196126.6	0.6728491058115126	Ridge
3	ENSG00000196735.6	0.5129616952538762	Ridge
3	ENSG00000176681.9	0.37013508037647475	Ridge
3	ENSG00000232629.4	0.243356399754961	Ridge
4	ENSG00000198502.5	0.35238843716170415	Ridge
4	ENSG00000214425.1	0.3650069083898469	Ridge
4	ENSG00000238083.3	0.486874897692394	Ridge
4	ENSG00000229450.2	0.4092577798328826	Ridge
4	ENSG00000179344.11	0.7708309765416425	Ridge
4	ENSG00000237541.3	0.48102642832490733	Ridge
4	ENSG00000196126.6	0.2368494398487149	Ridge
4	ENSG00000196735.6	0.5455495648501953	Ridge
4	ENSG00000176681.9	0.5266132794619641	Ridge
4	ENSG00000232629.4	0.6749757848666406	Ridge
5	ENSG00000198502.5	0.46431999381570027	Ridge
5	ENSG00000214425.1	0.19463606264623798	Ridge
5	ENSG00000238083.3	0.4085017206088058	Ridge
5	ENSG00000229450.2	0.4174849153963308	Ridge
5	ENSG00000179344.11	0.7826818354678307	Ridge
5	ENSG00000237541.3	0.5591369420497416	Ridge
5	ENSG00000196126.6	0.4419543248747703	Ridge
5	ENSG00000196735.6	0.6427793831470918	Ridge
5	ENSG00000176681.9	0.4539201933559468	Ridge
5	ENSG00000232629.4	0.49227085717200636	Ridge
1	ENSG00000198502.5	0.023559436167669767	LinRegr
1	ENSG00000214425.1	0.15043622960447617	LinRegr
1	ENSG00000238083.3	0.08594194955806803	LinRegr
1	ENSG00000229450.2	0.13105989095995418	LinRegr
1	ENSG00000179344.11	0.1498706056921785	LinRegr
1	ENSG00000237541.3	0.3593619179538746	LinRegr
1	ENSG00000196126.6	0.0340305205929975	LinRegr
1	ENSG00000196735.6	0.33957389219469375	LinRegr
1	ENSG00000176681.9	-0.09885922122961052	LinRegr
1	ENSG00000232629.4	0.3281802555329057	LinRegr
2	ENSG00000198502.5	0.015594068423046689	LinRegr
2	ENSG00000214425.1	0.016350477278744713	LinRegr
2	ENSG00000238083.3	0.3020168610780198	LinRegr
2	ENSG00000229450.2	0.07291639672520069	LinRegr
2	ENSG00000179344.11	0.26918436607581	LinRegr
2	ENSG00000237541.3	0.13145494343132363	LinRegr
2	ENSG00000196126.6	0.2568327183165652	LinRegr
2	ENSG00000196735.6	0.4732956741484421	LinRegr
2	ENSG00000176681.9	0.26632993842537744	LinRegr
2	ENSG00000232629.4	0.1097902321858751	LinRegr
3	ENSG00000198502.5	0.03741655641447179	LinRegr
3	ENSG00000214425.1	0.02172390444557272	LinRegr
3	ENSG00000238083.3	0.07695116016142926	LinRegr
3	ENSG00000229450.2	0.22834949497235135	LinRegr
3	ENSG00000179344.11	0.26844773958537577	LinRegr
3	ENSG00000237541.3	0.0693281633265859	LinRegr
3	ENSG00000196126.6	0.19468579476617676	LinRegr
3	ENSG00000196735.6	0.19298956347152296	LinRegr
3	ENSG00000176681.9	0.1073435799140758	LinRegr
3	ENSG00000232629.4	0.015265218393037268	LinRegr
4	ENSG00000198502.5	-0.0871845549988043	LinRegr
4	ENSG00000214425.1	0.2785418345856124	LinRegr
4	ENSG00000238083.3	0.10862412363510629	LinRegr
4	ENSG00000229450.2	0.08790940704812698	LinRegr
4	ENSG00000179344.11	0.2743759874955464	LinRegr
4	ENSG00000237541.3	0.10166295243900268	LinRegr
4	ENSG00000196126.6	0.042316593323682566	LinRegr
4	ENSG00000196735.6	0.09072590763576772	LinRegr
4	ENSG00000176681.9	0.08602406393313634	LinRegr
4	ENSG00000232629.4	0.30037521558859626	LinRegr
5	ENSG00000198502.5	0.12372099055129537	LinRegr
5	ENSG00000214425.1	0.04040589040542393	LinRegr
5	ENSG00000238083.3	-0.03379932044489298	LinRegr
5	ENSG00000229450.2	0.19549106794714208	LinRegr
5	ENSG00000179344.11	0.35866756301124836	LinRegr
5	ENSG00000237541.3	0.26302152295637465	LinRegr
5	ENSG00000196126.6	0.01629280938592299	LinRegr
5	ENSG00000196735.6	-0.09771516391896717	LinRegr
5	ENSG00000176681.9	0.13965366418621342	LinRegr
5	ENSG00000232629.4	0.30260667931126034	LinRegr
1	ENSG00000198502.5	0.5249636954658655	SVR
1	ENSG00000214425.1	0.15945990411229508	SVR
1	ENSG00000238083.3	0.33821021444283567	SVR
1	ENSG00000229450.2	0.5390198573529859	SVR
1	ENSG00000179344.11	0.591438724574062	SVR
1	ENSG00000237541.3	0.7077467857958325	SVR
1	ENSG00000196126.6	0.30716918684464034	SVR
1	ENSG00000196735.6	0.5130193743811028	SVR
1	ENSG00000176681.9	0.5346790226772129	SVR
1	ENSG00000232629.4	0.5465900099466444	SVR
2	ENSG00000198502.5	0.3058578420638552	SVR
2	ENSG00000214425.1	0.3553038952342505	SVR
2	ENSG00000238083.3	0.362512311604928	SVR
2	ENSG00000229450.2	0.4976684660807399	SVR
2	ENSG00000179344.11	0.7676963434771512	SVR
2	ENSG00000237541.3	0.36107194373523965	SVR
2	ENSG00000196126.6	0.45856314433975814	SVR
2	ENSG00000196735.6	0.6879959880210657	SVR
2	ENSG00000176681.9	0.40965640699271644	SVR
2	ENSG00000232629.4	0.5536471548058934	SVR
3	ENSG00000198502.5	0.20196719882368971	SVR
3	ENSG00000214425.1	0.3721871113141128	SVR
3	ENSG00000238083.3	0.3021615555672122	SVR
3	ENSG00000229450.2	0.4318954082544433	SVR
3	ENSG00000179344.11	0.6526247624357524	SVR
3	ENSG00000237541.3	0.25710237622824195	SVR
3	ENSG00000196126.6	0.6131823600863429	SVR
3	ENSG00000196735.6	0.39239172362316505	SVR
3	ENSG00000176681.9	0.3918392537553394	SVR
3	ENSG00000232629.4	0.21269432209063766	SVR
4	ENSG00000198502.5	0.46230203957264804	SVR
4	ENSG00000214425.1	0.38199596557799836	SVR
4	ENSG00000238083.3	0.5216671841384167	SVR
4	ENSG00000229450.2	0.3865408382770683	SVR
4	ENSG00000179344.11	0.7651182025191091	SVR
4	ENSG00000237541.3	0.5271085674710436	SVR
4	ENSG00000196126.6	0.23313138739699488	SVR
4	ENSG00000196735.6	0.5791613017951245	SVR
4	ENSG00000176681.9	0.5154455525723086	SVR
4	ENSG00000232629.4	0.5646418998851229	SVR
5	ENSG00000198502.5	0.48375992577403426	SVR
5	ENSG00000214425.1	0.1366691767297107	SVR
5	ENSG00000238083.3	0.29772297256425595	SVR
5	ENSG00000229450.2	0.46322544321365894	SVR
5	ENSG00000179344.11	0.7634454572254633	SVR
5	ENSG00000237541.3	0.5685245116856501	SVR
5	ENSG00000196126.6	0.5121992599291494	SVR
5	ENSG00000196735.6	0.6322115485375019	SVR
5	ENSG00000176681.9	0.383214972340983	SVR
5	ENSG00000232629.4	0.4473814526557908	SVR
